220;2021-12-29;16:00:38.329945;Entrada
220;2021-12-29;16:00:39.838099;Saída
120;2021-12-29;16:00:43.884554;Entrada
120;2021-12-29;16:00:45.185505;Saída
178;2022-01-05;14:53:39.240774;Entrada
220;2021-12-30;16:00:38.329945;Entrada
220;2021-12-30;16:00:39.838099;Saída
120;2021-12-30;16:00:43.884554;Entrada
120;2021-12-30;16:00:45.185505;Saída
178;2022-01-07;14:53:39.240774;Entrada
101;2022-12-12;11:07:18.887636;Entrada
101;2022-12-12;11:09:59;Entrada
105;2022-12-12;11:10:10;Entrada
101;2022-12-12;11:10:15;Saída
101;2022-12-15;11:14:05;Entrada
101;2022-12-15;11:14:07;Entrada
101;2022-12-15;11:14:12;Entrada
100;2022-12-15;11:15:54;Entrada
100;2022-12-15;11:16:02;Entrada
111;2022-12-15;11:17:49;Entrada
999;2022-12-15;11:18:30;Entrada
999;2022-12-15;11:18:44;Entrada
999;2022-12-15;11:18:50;Entrada
888;2022-12-15;11:19:38;Entrada
888;2022-12-15;11:19:39;Entrada
777;2022-12-15;11:20:44;Entrada
777;2022-12-15;11:20:49;Entrada
1;2022-12-15;11:25:01;Entrada
1;2022-12-15;11:25:13;Saída
1;2022-12-15;11:25:15;Saída
1;2022-12-15;11:25:18;Saída
1;2022-12-15;11:28:54;Saída
1;2022-12-15;11:29:26;Saída
2;2022-12-15;11:42:31;Entrada
2;2022-12-15;11:42:39;Saída
3;2022-12-15;11:45:20;Entrada
3;2022-12-15;11:45:23;Saída
2;2022-12-15;11:54:17;Entrada
2;2022-12-15;11:54:23;Saída
2;2022-12-15;11:54:28;Entrada
102;2022-12-15;16:29:58;Entrada
199;2022-12-15;16:32:25;Entrada
199;2022-12-15;16:32:58;Saída
199;2022-12-15;16:33:02;Entrada
199;2022-12-15;16:33:28;Saída
101;2022-12-15;16:42:11;Saída
55;2022-12-15;17:25:26;Entrada
56;2022-12-15;17:25:32;Entrada
2222;2022-12-15;17:32:56;Entrada
2222;2022-12-15;17:33:01;Saída
555;2022-12-15;17:33:21;Entrada
